__filename__,CODEST,MC_AUTO,CODEMC,__id__,CLIP,CODELI,TEXT,CODESII
tekno_complete,1,1,2,0,1,1,"The teacher is helping this student find equivalent fractions using the giant one.  I wonder where this giant one came from as it is a rule that students must use but it seems like an effective way to help.  I secretly hope that she and the students explored representations of fractions that were equivalent and discovered that numerically they were multiplied by 1 and from there she called it the Giant One.  She uses questions to guide the student's thinking.  The student begins to see how multiplying by a """"giant one"""" will help him create equivalent fractions.""""",2
tekno_complete,0,1,1,1,1,0,"The students are seated in pairs but the teacher is working with just one student. As the student is working on independent work the teacher guides the student into finding equivalent fractions.  She asks questions along the process and the student does the computation.  She has the student experience making the fraction larger or smaller.  The math discovery is made through question and answer.  The rest of the class are working on the independent assignment.""""",0
tekno_complete,0,0,0,2,1,0,Face to face individual attention.  Leading the student and waiting for him to complete her sentence.,0
tekno_complete,1,1,1,3,1,0,"The teacher helps the student understand that an equivalent fraction can have larger or smaller numbers.  The simplest form is also found in a natural way """"can't make it any smaller so we have to go bigger""""""""",0
tekno_complete,1,0,1,4,1,1,"The teacher was doing a typical Question-Response style assistance for the student who wasn't sure of what to do to find the equivalent fractions.  She lead the student to the correct responses up to the point where he had to multiply by the Giant One which was any fraction that equaled 1. The student didn't do much independent thinking just had to come up with the expected answer.""""",0
tekno_complete,0,0,1,5,1,1,The teacher is asking the student to upscale or downscale the given fraction using the concept of giant one. Instead of giving the answers to the student she is stimulating the student by asking question and letting him think through the problems and procedures.,0
tekno_complete,1,1,2,6,1,2,"I think that even though the student could DO the procedure he really didn't get   WHY multiplying both the numerator and  denominator  by the same number produces   an equivalent fraction.   If we are eating pizza and some more people come over   if we cut every piece we have in HALF can you see that not only would   our pieces get TWICE AS SMALL we would also have:   TWICE AS MANY!        (Can you tell that I use food a lot when we teach fractions?)""""",2
tekno_complete,1,2,1,7,1,1,"The student seems hesitant to try the task alone.  When the teacher prompts him he shows understanding but asks if this is what he needs to do.  This task requires the student to simplify and find equivalence at the same time and it seems like the student isn't really sure if he's doing it correctly.""""",0
tekno_complete,0,0,0,8,1,1,Seems a bit harsh. Her body language is negative.,0
tekno_complete,0,0,0,9,1,0,this approach works for me. I like it,0
tekno_complete,1,0,0,10,1,1,"I felt that the student was actively involved with the problem solving she gave clues when he needed encouragement.  He appeared by the 2nd time to have a good understanding of what the task was and how to accomplish it.""""",0
tekno_complete,0,2,0,11,1,1,Teacher gave enough time to student to think and understand what he was doing. She took a step by step approach. She lead the student to think in the right direction by giving hints. She was encouraging too.,0
tekno_complete,0,1,1,12,1,0,The way the teacher assists the student is quite good and understanding. She is telling student to pick the largest fraction and such one so that he can come up with 3 smaller ones in result. The way of teaching was simple and understanding.,0
